Black,BlackElo,BlackRatingDiff,Event,Opening,Result,Site,Termination,TimeControl,White,WhiteElo,WhiteRatingDiff,Eval,WinElo,EloDiff
bastianbux,1506,+3,Rated Classical game,Sicilian Defense,0,https://lichess.org/D07lcwCf,Normal,840+2,carlo182,1161,-3,36,1506,-345
Murderinlaw,1703,+9,Rated Bullet game,Nimzowitsch-Larsen Attack,0,https://lichess.org/YHrsmGhA,Normal,0+2,feinsterschnitz,1643,-8,5,1703,-60
ParasiteEve0,1295,+5,Rated Classical game,French Defense #2,0,https://lichess.org/3FIBqYPe,Normal,480+0,toio64,1074,-10,-49,1295,-221
feinsterschnitz,1635,-8,Rated Bullet game,Caro-Kann Defense,1,https://lichess.org/qW0Ji2qU,Normal,0+2,Murderinlaw,1712,+9,98,1635,77
byrongagain,1718,-15,Rated Classical game,Portuguese Opening,1,https://lichess.org/RgjhNfHN,Normal,300+8,miki1954,1618,+15,53,1718,-100
mrRingo,1714,+11,Rated Classical game,Sicilian Defense,0,https://lichess.org/2V9pcjLW,Normal,600+0,prorabartur66,1721,-12,73,1714,7
Parris4iv,1569,+4,Rated Bullet game,Italian Game,0,https://lichess.org/sSkuJMy4,Normal,60+1,moloko7,1298,-3,57,1569,-271
atothek,1680,-10,Rated Classical game,Van't Kruijs Opening,1,https://lichess.org/5QOu8wuC,Normal,600+10,maximilianola,1694,+15,15,1680,14
gengis78,1625,-13,Rated Blitz game,Scotch Game,1,https://lichess.org/spK37iXX,Normal,300+1,brahama777,1439,+157,49,1625,-186
buka,1524,+13,Rated Blitz game,Ruy Lopez,0,https://lichess.org/M9kYzj8C,Time forfeit,300+2,mirumen,1622,-13,25,1524,98
igo1,2102,+6,Rated Bullet game,Hungarian Opening,0,https://lichess.org/42lEAiM2,Normal,60+0,sezwho,1932,-6,25,2102,-170
hossein72,1387,-43,Rated Classical game,Scandinavian Defense,1,https://lichess.org/aOzBh62G,Normal,1800+8,marren47,1040,+21,38,1387,-347
NjScotsGuy,1771,+10,Rated Bullet game,Dutch Defense,0,https://lichess.org/fEIkeO4E,Time forfeit,0+4,paulmorphy44,1745,-10,-11,1771,-26
andrewrun,2142,+4,Rated Bullet game,Sicilian Defense,0,https://lichess.org/1mmaBDDI,Normal,60+0,DolfjeWeerwolfje,1834,-4,73,2142,-308
PILOTVE,1535,+14,Rated Bullet game,Nimzowitsch Defense,0,https://lichess.org/KsL9XJ8f,Time forfeit,120+0,lazarification,1585,-12,119,1535,50
shittyshittyshitty,1467,+9,Rated Blitz game,Sicilian Defense,0,https://lichess.org/V3TGP7x1,Normal,240+5,guliskhan,1385,-9,-81,1467,-82
Aramello,1266,-1,Rated Blitz tournament https://lichess.org/tournament/XoO5rZPm,Queen's Pawn Game,1,https://lichess.org/3Z5whDCL,Normal,300+0,caballomanco,1756,+1,39,1266,490
farmer1144,1521,+10,Rated Classical game,French Defense,0,https://lichess.org/MMAcISIz,Normal,600+8,yasim,1477,-9,-29,1521,-44
TapakaH41k,1946,+2,Rated Blitz tournament https://lichess.org/tournament/XoO5rZPm,Sicilian Defense,0,https://lichess.org/xPXNo2Uc,Time forfeit,300+0,juanelo333,1473,-1,-35,1946,-473
Muschicat,1801,+3,Rated Blitz game,Scotch Game,0,https://lichess.org/PSy9VilF,Normal,300+0,vkalcich,1498,-3,-165,1801,-303
abaza,1660,+13,Rated Classical game,Rat Defense,0,https://lichess.org/pEdncXwI,Normal,600+6,sk4zuzu,1737,-54,-43,1660,77
cher,1773,+9,Rated Blitz game,Queen's Pawn Game #2,0,https://lichess.org/zkFB0J6r,Normal,240+0,vmferr,1692,-9,143,1773,-81
GAYGAY2,1763,+11,Rated Bullet game,Modern Defense,0,https://lichess.org/IyUTRsEX,Normal,60+0,faryad22,1772,-11,62,1763,9
GREATMASTER,1603,+26,Rated Classical game,King's Pawn Game,0,https://lichess.org/3Tc9zfI7,Normal,600+0,erpu,1172,-3,344,1603,-431
ctejas,1225,+15,Rated Blitz game,French Defense,0,https://lichess.org/DaZsPTmO,Time forfeit,300+0,Parisfrance,1316,-14,29,1225,91
lamberleon,1216,-10,Rated Classical game,Bishop's Opening,1,https://lichess.org/N2UwVOi5,Normal,180+8,kch77,1266,+10,144,1216,50
sella,1814,-11,Rated Blitz tournament https://lichess.org/tournament/XoO5rZPm,Indian Game,1,https://lichess.org/AizCtJCp,Normal,300+0,VTuruz,1830,+11,60,1814,16
shuntandromeda1,1674,-3,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Van't Kruijs Opening,2,https://lichess.org/8PvV1Ts9,Time forfeit,60+0,patrick03,1574,+3,-13,1674,-100
dielle_Fischer,1608,-6,Rated Classical game,Four Knights Game,1,https://lichess.org/3LsYYAwi,Normal,600+0,bobbytal,1825,+7,-67,1608,217
malkoch,1704,+10,Rated Classical game,Van't Kruijs Opening,0,https://lichess.org/Vha4NTam,Normal,840+8,AnGeLPeRvErSo,1608,-8,17,1704,-96
helmutLipfert6,1600,+2,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Mieses Opening,0,https://lichess.org/CyT3zqOC,Time forfeit,60+0,pvolumea,1079,-3,-22,1600,-521
gelu_mioara,1463,-9,Rated Bullet game,Queen's Gambit Declined,1,https://lichess.org/Tt2VDese,Normal,120+0,armagedon4,1532,+9,116,1463,69
nihon,1592,-14,Rated Classical game,English Opening,1,https://lichess.org/2rhY7VJ0,Normal,540+0,nemanjapavlovic,1521,+12,278,1592,-71
TheY2AProblem,921,+27,Rated Blitz game,Van't Kruijs Opening,0,https://lichess.org/beIQGEcF,Time forfeit,60+3,CanardFou,1237,-21,21,921,316
mgeorgi,1380,+11,Rated Blitz game,Van't Kruijs Opening,0,https://lichess.org/F90HVKGC,Normal,180+0,jfurlanga,1353,-10,-86,1380,-27
cittavecchia,1574,-12,Rated Blitz game,Blackmar-Diemer Gambit,1,https://lichess.org/kMCU9Qoe,Normal,300+0,book_fan,1537,+12,110,1574,-37
mikeraya,1691,+9,Rated Classical game,Queen's Pawn Game #2,0,https://lichess.org/P3LwdK5d,Normal,300+5,Aprilita,1630,-9,114,1691,-61
GIL180363,1673,-10,Rated Blitz game,Queen's Gambit Refused,1,https://lichess.org/U7bhcC5M,Normal,300+0,KTtris,1711,+9,37,1673,38
FranTech3,1362,+13,Rated Classical game,Vienna Game,0,https://lichess.org/7q5VeZUh,Normal,1200+5,sasapukovac,1428,-13,98,1362,66
bjagus,1556,-11,Rated Bullet game,Nimzo-Larsen Attack,1,https://lichess.org/CvNGacKu,Time forfeit,60+0,zurka,1554,+11,-146,1556,-2
protagonic,1725,-15,Rated Classical game,Sicilian Defense,1,https://lichess.org/5sNqbZTN,Normal,300+8,ionica,1602,+14,89,1725,-123
falanx,1645,+3,Rated Bullet game,Anderssen Opening,0,https://lichess.org/pRxZo8lq,Normal,60+0,laloli,1315,-3,-128,1645,-330
ebonyandivory,1708,+9,Rated Blitz game,London System,0,https://lichess.org/KZKjwBxf,Normal,240+0,jven,1661,-9,11,1708,-47
SanPedro,1885,-23,Rated Blitz game,English Defense,1,https://lichess.org/ZWnvsluf,Time forfeit,300+0,avo1948,1622,+20,87,1885,-263
Voittamaton,1877,+6,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Queen's Pawn Game,0,https://lichess.org/yaRUPHgV,Time forfeit,60+0,knight2014,1720,-7,63,1877,-157
bookle,2203,+3,Rated Blitz game,Nimzowitsch Defense,0,https://lichess.org/pDl2k5z5,Time forfeit,300+0,Demonique,1825,-2,23,2203,-378
Nosreve,1880,+0,Rated Bullet game,Hungarian Opening,2,https://lichess.org/gyukdsti,Normal,60+0,sir_utku,1884,-1,12,1880,4
Firebird82,1882,-15,Rated Bullet game,Van't Kruijs Opening,1,https://lichess.org/f4J1qpXd,Normal,60+0,bombozik,1745,+14,110,1882,-137
vadimdim,1411,+6,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,French Defense,2,https://lichess.org/4ron4l9I,Time forfeit,60+0,helmutLipfert6,1602,-7,12,1411,191
steely,1786,+8,Rated Classical game,Sicilian Defense,0,https://lichess.org/2pd1XukD,Normal,300+5,Antiopa,1719,-9,-32,1786,-67
Vlast777,1433,+3,Rated Blitz game,Philidor Defense,0,https://lichess.org/cG1v5t4g,Normal,300+3,jrui,1082,-3,52,1433,-351
mahyar-90,1992,+3,Rated Blitz game,Queen's Pawn Game,0,https://lichess.org/idQY7WGK,Normal,180+0,chriscool34,1615,-2,35,1992,-377
shuntandromeda1,1671,+1,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Gedult's Opening,0,https://lichess.org/RuybHCup,Time forfeit,60+0,pvolumea,1076,-2,-215,1671,-595
AmazingDiesel,930,-4,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Bishop's Opening,1,https://lichess.org/q9mjXUAi,Time forfeit,60+0,patrick03,1577,+1,285,930,647
sergeblanc,1619,-4,Rated Blitz game,Horwitz Defense,1,https://lichess.org/qQgfDA3F,Normal,300+0,goltrpoat,1887,+5,124,1619,268
DolfjeWeerwolfje,1830,-4,Rated Bullet game,Pirc Defense,1,https://lichess.org/z2w90QhB,Normal,60+0,andrewrun,2146,+3,81,1830,316
kadeq,1383,-5,Rated Classical game,Benoni Defense,1,https://lichess.org/p3KY61hJ,Normal,300+7,Rohan2013,1625,+5,42,1383,242
drose1,1416,-9,Rated Classical game,Queen's Gambit Refused,1,https://lichess.org/DoRPbRFE,Normal,600+0,Tony50,1501,+9,1009,1416,85
moloko7,1295,-7,Rated Bullet game,King's Indian Defense,1,https://lichess.org/rhouy3JS,Normal,60+2,djarfur,1436,+6,114,1295,141
fbsantos,1589,-11,Rated Classical game,French Defense,1,https://lichess.org/ns4SXAl2,Normal,780+10,andrewdnahon,1603,+10,-66,1589,14
jc04,1784,-8,Rated Bullet game,Queen's Gambit Declined,1,https://lichess.org/CQdstTJ6,Normal,60+0,moribund,1861,+8,51,1784,77
shittyshittyshitty,1476,-10,Rated Blitz game,Van't Kruijs Opening,1,https://lichess.org/8yd6wOVG,Time forfeit,180+2,yesse2,1533,+10,39,1476,57
Scaramouche,1601,-8,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/oQwFZbE0,Normal,240+3,Johpress,1723,+7,50,1601,122
martinbo,1286,+16,Rated Classical game,Sicilian Defense,0,https://lichess.org/Js0zIwNt,Normal,420+8,Maks1111,1472,-16,-5,1286,186
sidacotel,1778,-5,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/IGRt2o9K,Normal,180+0,uluncha,1955,+8,56,1778,177
milandeda,1828,-5,Rated Classical game,Queen's Pawn Game,2,https://lichess.org/EuG4VW6E,Normal,420+10,humb,1678,+5,8,1828,-150
GAYGAY2,1774,+10,Rated Bullet game,Hungarian Opening,0,https://lichess.org/I9rvMcUs,Normal,60+0,faryad22,1761,-10,86,1774,-13
ecoto,1736,+3,Rated Classical game,Sicilian Defense,0,https://lichess.org/XL2aHohK,Normal,900+0,chessmen,1413,-3,-346,1736,-323
AnnieK,1742,-17,Rated Blitz game,Scotch Game,1,https://lichess.org/5SMm0YOU,Normal,420+0,cercliste,1504,+18,-28,1742,-238
rjcdagas,1838,-9,Rated Blitz game,Ruy Lopez,1,https://lichess.org/b9zapAuU,Normal,300+0,mizzaupablo,1869,+9,56,1838,31
ZeRicky,1424,-12,Rated Blitz game,Vienna Game,1,https://lichess.org/R6ZJotkq,Normal,180+5,Mems_,1396,+11,-344,1424,-28
pseudoknight,1852,+1,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Pterodactyl Defense,0,https://lichess.org/zJReNQsz,Normal,60+0,laloli,1312,-1,46,1852,-540
atothek,1670,+9,Rated Classical game,Three Knights Opening,0,https://lichess.org/UKx9mZmN,Normal,600+5,siltru28,1628,-10,52,1670,-42
moribund,1869,-13,Rated Bullet game,Sicilian Defense,1,https://lichess.org/zfV0z1pM,Normal,60+0,jc04,1776,+13,-31,1869,-93
giglamesh,1040,-2,Rated Blitz game,Ruy Lopez,1,https://lichess.org/xEWms7vG,Normal,300+2,bodul,1606,+0,117,1040,566
khardal,1918,+2,Rated Blitz game,Sicilian Defense,0,https://lichess.org/FvilAjMV,Time forfeit,300+0,Anl,1471,-2,81,1918,-447
totleben777,1166,+0,Rated Classical game,Horwitz Defense,1,https://lichess.org/CZfYRInS,Normal,600+5,g54,1938,+2,162,1166,772
andrewrun,2149,+4,Rated Bullet game,Sicilian Defense,0,https://lichess.org/Eb9TSTdh,Normal,60+0,DolfjeWeerwolfje,1826,-4,13,2149,-323
zurka,1565,-11,Rated Bullet game,Modern Defense,1,https://lichess.org/ZPQ92Yeo,Normal,60+0,bjagus,1545,+11,91,1565,-20
biwere,1776,+8,Rated Classical game,Nimzowitsch Defense,0,https://lichess.org/7MdT9wzr,Normal,600+15,utrilla,1619,-6,2,1776,-157
Murderinlaw,1721,-14,Rated Bullet game,Caro-Kann Defense,1,https://lichess.org/qiW5zvob,Time forfeit,0+2,feinsterschnitz,1627,+13,-77,1721,-94
equs58,1662,+13,Rated Blitz game,Sicilian Defense,0,https://lichess.org/BDWXNYA8,Time forfeit,300+0,URIAHURIAH,1710,-12,43,1662,48
CarrieGasparow,1633,-76,Rated Classical game,Queen's Pawn Game,1,https://lichess.org/TIuRZpqO,Normal,600+0,DavidGamero,1343,+110,-4,1633,-290
vropecam,1627,+75,Rated Classical game,King's Pawn Game,0,https://lichess.org/koLc7h8h,Normal,300+8,yasim,1468,-6,-39,1627,-159
damjanedam15,1734,-17,Rated Blitz game,French Defense,1,https://lichess.org/q8FMbZJH,Time forfeit,300+0,eurobenq,1543,+17,0,1734,-191
maximilianola,1709,+7,Rated Classical game,Pirc Defense #2,0,https://lichess.org/pXXUJucc,Normal,300+15,hi_man,1470,-4,140,1709,-239
senior2007,2194,+1,Rated Classical game,Pirc Defense #4,0,https://lichess.org/dxC9U0cF,Normal,420+10,theoldiniquity,1556,+0,61,2194,-638
timur1960,1694,-10,Rated Blitz game,Caro-Kann Defense,1,https://lichess.org/vGjohL1k,Time forfeit,180+0,chessbona,1726,+9,98,1694,32
Firebird82,1867,+8,Rated Bullet game,Modern Defense,0,https://lichess.org/zGLQnnOM,Time forfeit,60+0,Zzorro,1767,-8,13,1867,-100
odontomachus,1818,+13,Rated Blitz game,Queen's Pawn Game,0,https://lichess.org/NSa1IFsn,Normal,240+2,flogislife2,1899,-13,28,1818,81
andrewrun,2153,+3,Rated Bullet game,Sicilian Defense,0,https://lichess.org/bzrI33Mw,Time forfeit,60+0,DolfjeWeerwolfje,1822,-3,55,2153,-331
patrick03,1578,+13,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,King's Gambit Accepted,0,https://lichess.org/9b6F2rKA,Time forfeit,60+0,helmutLipfert6,1595,-15,196,1578,17
denko,1418,-10,Rated Bullet game,Van't Kruijs Opening,1,https://lichess.org/Ua29wFmC,Time forfeit,60+0,redfood99,1437,+10,34,1418,19
susanoo,1377,-6,Rated Blitz game,Philidor Defense #2,1,https://lichess.org/7hSnf5ZU,Normal,300+4,g54,1500,+123,9,1377,123
GAYGAY2,1784,-12,Rated Bullet game,Owen Defense,1,https://lichess.org/VnPc4G6u,Normal,60+0,faryad22,1751,+12,-34,1784,-33
sir_utku,1883,+11,Rated Bullet game,Owen Defense,0,https://lichess.org/pM74IWy9,Normal,60+0,Nosreve,1880,-10,7,1883,-3
knight2014,1713,+10,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Caro-Kann Defense,0,https://lichess.org/LHbAR1Lk,Time forfeit,60+0,shuntandromeda1,1672,-11,59,1713,-41
eathomas,1385,+13,Rated Classical game,King's Pawn Game,0,https://lichess.org/diN3BcjD,Normal,240+10,zazil_aka,1451,-13,-20,1385,66
kromzom,2126,-9,Rated Blitz game,Sicilian Defense,1,https://lichess.org/eF5m32G8,Normal,180+1,mark28_biedermann,2173,+10,181,2126,47
feinsterschnitz,1640,-9,Rated Bullet game,Gedult's Opening,1,https://lichess.org/EeTz0I3e,Normal,0+2,Murderinlaw,1707,+9,-169,1640,67
hossein72,1344,+18,Rated Classical game,Nimzowitsch Defense,0,https://lichess.org/59WzasKG,Time forfeit,1080+8,LEITMOTIV,1258,-8,0,1344,-86
Rumeye,1743,+11,Rated Classical game,Queen's Gambit Refused,0,https://lichess.org/WZKXVrgx,Normal,300+8,GATOFELIX,1756,-11,28,1743,13
nazaki1234,2076,+6,Rated Bullet game,Horwitz Defense,0,https://lichess.org/UEnHAIae,Time forfeit,60+0,yuraust,1930,-6,62,2076,-146
djarfur,1442,-7,Rated Bullet game,Sicilian Defense,1,https://lichess.org/n4o07X4Z,Time forfeit,60+2,PILOTVE,1549,+8,31,1442,107
Voittamaton,1883,+1,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Scotch Game,0,https://lichess.org/RjlK9vzm,Normal,60+0,laloli,1311,-1,34,1883,-572
hotsouptoonC,1556,+12,Rated Blitz game,Sicilian Defense,0,https://lichess.org/82D7zNgf,Normal,300+0,KinolaSrbija,1588,-13,16,1556,32
pvolumea,1074,+42,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Caro-Kann Defense,0,https://lichess.org/hsEUylwK,Time forfeit,60+0,vadimdim,1417,-23,284,1074,343
bjagus,1556,+11,Rated Bullet game,Nimzo-Larsen Attack,0,https://lichess.org/AbHtjlyN,Time forfeit,60+0,zurka,1554,-11,-57,1556,-2
Oska00,1656,-7,Rated Classical game,Sicilian Defense,1,https://lichess.org/b4AyjNJS,Normal,300+5,Bessieres,1830,+14,113,1656,174
tigr1962,1623,-7,Rated Blitz tournament https://lichess.org/tournament/XoO5rZPm,Queen's Pawn Game,1,https://lichess.org/tV3WAU7C,Time forfeit,300+0,caballomanco,1757,+8,57,1623,134
Snowden,1589,+6,Rated Classical game,Queen's Pawn Game,0,https://lichess.org/5uIIRwOw,Normal,480+0,xdaniel,1394,-5,-69,1589,-195
lSentenzal,1385,-23,Rated Classical game,King's Gambit Accepted,1,https://lichess.org/pIoQE31V,Normal,300+8,chessmen,1410,+11,465,1385,25
Zzorro,1759,-7,Rated Bullet game,Queen's Pawn Game,1,https://lichess.org/hcVl6RCi,Time forfeit,60+0,Firebird82,1875,+8,5,1759,116
pseudoknight,1853,+1,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Sicilian Defense,0,https://lichess.org/aM5FPFjI,Time forfeit,60+0,laloli,1310,-1,-355,1853,-543
crnilaufer1,1649,+13,Rated Blitz tournament https://lichess.org/tournament/XoO5rZPm,Ruy Lopez,0,https://lichess.org/LzmVHslh,Normal,300+0,juliocrv,1697,-14,123,1649,48
Nosreve,1870,-10,Rated Bullet game,Hungarian Opening,1,https://lichess.org/YMN0uXmI,Normal,60+0,sir_utku,1894,+10,159,1870,24
isaac44,1261,-3,Rated Classical game,Philidor Defense #2,1,https://lichess.org/y2yXpoO5,Normal,600+0,jackinnet,1594,+3,213,1261,333
Muschicat,1804,+18,Rated Blitz game,Scotch Game,0,https://lichess.org/EOMKkMcq,Normal,300+0,mahyar-90,1995,-17,25,1804,191
jven,1652,-15,Rated Blitz game,Caro-Kann Defense,1,https://lichess.org/Er8mZvMB,Normal,300+0,Perfectionisttt,1525,+15,28,1652,-127
joriskarl,1136,-9,Rated Classical game,Philidor Defense #2,1,https://lichess.org/SrzdRJ6W,Normal,540+0,lalenshko,1341,+5,108,1136,205
jc04,1789,+9,Rated Bullet game,Horwitz Defense,0,https://lichess.org/8auikTi5,Time forfeit,60+0,bombozik,1759,-9,64,1789,-30
dezano,1663,+14,Rated Blitz game,Robatsch (Modern) Defense,0,https://lichess.org/8QrPpd7A,Normal,360+0,kasikelatino,1773,-14,37,1663,110
vkalcich,1495,-16,Rated Blitz game,Van't Kruijs Opening,1,https://lichess.org/Nf1O3ex8,Time forfeit,180+0,yincao,1348,+16,-17,1495,-147
KB5252,1485,+17,Rated Classical game,Bishop's Opening,0,https://lichess.org/cu0i4HNY,Normal,480+0,Humberto,1608,-15,100,1485,123
RiceAndChine,1340,-7,Rated Classical game,Sicilian Defense,1,https://lichess.org/iTIhozRv,Normal,300+5,MirhadS,1469,+7,66,1340,129
patrick03,1591,-4,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Scandinavian Defense,1,https://lichess.org/I5s699q7,Normal,60+0,Voittamaton,1884,+4,150,1591,293
NjScotsGuy,1781,+11,Rated Bullet game,Dutch Defense,0,https://lichess.org/SHFotuKU,Normal,0+4,linuxinside,1794,-11,-12,1781,13
mrpleasant,1342,+6,Rated Blitz game,Hungarian Opening,2,https://lichess.org/6sVJHP5A,Normal,360+0,wcasique2000,1542,-6,104,1342,200
DolfjeWeerwolfje,1819,-4,Rated Bullet game,Pirc Defense,1,https://lichess.org/0Xz8qZu2,Time forfeit,60+0,andrewrun,2156,+4,44,1819,337
rostroz,1468,-7,Rated Classical game,Sicilian Defense,1,https://lichess.org/Ve6aGLNN,Normal,120+11,CaptainTsubasa,1617,+6,-8,1468,149
Jeverett91,1740,+13,Rated Classical game,French Defense,0,https://lichess.org/8QJQnZm4,Normal,900+0,ecoto,1739,-12,32,1740,-1
GAYGAY2,1772,-10,Rated Bullet game,Van't Kruijs Opening,1,https://lichess.org/r3Nz4tMF,Normal,60+0,faryad22,1763,+10,39,1772,-9
peaopeao,1677,+9,Rated Blitz game,Queen's Gambit Refused,0,https://lichess.org/mxuKMdtV,Normal,300+0,Richard10,1605,-9,170,1677,-72
KTtris,1720,-12,Rated Blitz game,Bishop's Opening,1,https://lichess.org/9lVDmAGS,Normal,300+0,GIL180363,1663,+13,26,1720,-57
helmutLipfert6,1580,+8,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Sicilian Defense,0,https://lichess.org/MIe1e0Ww,Time forfeit,60+0,mrowhed,1500,-140,-17,1580,-80
vmferr,1683,+15,Rated Blitz game,Philidor Defense #3,0,https://lichess.org/paBPnN0r,Time forfeit,240+0,cher,1782,-14,126,1683,99
sidacotel,1773,+16,Rated Blitz game,Englund Gambit Complex,0,https://lichess.org/NYplbsCO,Normal,180+0,not4profit,1996,-18,109,1773,223
pinchacarlos,1291,-8,Rated Classical game,King's Gambit Declined,1,https://lichess.org/cAqQHxQj,Normal,300+5,MirhadS,1476,+6,898,1291,185
knight2014,1723,-10,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Semi-Slav Defense,1,https://lichess.org/j26YvHn2,Time forfeit,60+0,GunganAttack,1767,+9,23,1723,44
shuntandromeda1,1661,+5,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,French Defense,0,https://lichess.org/Jf3qzHbl,Time forfeit,60+0,vadimdim,1394,-5,51,1661,-267
chess1552,1774,-14,Rated Classical game,Van't Kruijs Opening,1,https://lichess.org/Jro45nFO,Time forfeit,300+8,B556,1637,+111,68,1774,-137
Amiir,1791,+7,Rated Classical game,King's Pawn Game,0,https://lichess.org/fAio2CIp,Normal,900+0,pskpress,1593,-6,-12,1791,-198
flogislife2,1886,+9,Rated Blitz game,Sicilian Defense,0,https://lichess.org/3PKcJ5DO,Normal,240+2,odontomachus,1831,-9,-13,1886,-55
Murderinlaw,1716,+9,Rated Bullet game,Caro-Kann Defense,0,https://lichess.org/qTjClaWS,Normal,0+2,feinsterschnitz,1631,-8,29,1716,-85
kadeq,1340,-9,Rated Blitz game,Russian Game,1,https://lichess.org/0uCbE9Qq,Normal,300+0,yilmaz,1445,+8,21,1340,105
Teho1170,1431,+10,Rated Classical game,King's Gambit Accepted,0,https://lichess.org/SNV5yfd6,Time forfeit,600+0,vpb1,1369,-10,319,1431,-62
carlo182,1158,-3,Rated Classical game,Queen's Pawn Game,1,https://lichess.org/C8X5D9vX,Normal,840+2,bastianbux,1509,+2,31,1158,351
denko,1408,+12,Rated Bullet game,Van't Kruijs Opening,0,https://lichess.org/bDLMoGOt,Normal,60+0,redfood99,1447,-12,9,1408,39
toio64,1064,-10,Rated Classical game,Queen's Pawn Game,1,https://lichess.org/oZcZcgEl,Normal,480+0,ParasiteEve0,1300,+5,85,1064,236
sergeblanc,1615,-7,Rated Blitz game,French Defense,1,https://lichess.org/0NLlM292,Time forfeit,300+0,dinasor,1800,+7,51,1615,185
Firebird82,1883,+7,Rated Bullet game,Vienna Game,0,https://lichess.org/Zb85HbRu,Time forfeit,60+0,Zzorro,1752,-7,174,1883,-131
sir_utku,1904,+11,Rated Bullet game,Queen's Pawn Game,0,https://lichess.org/Y5G4pafK,Normal,60+1,yuraust,1924,-11,48,1904,20
Perfectionisttt,1540,+15,Rated Blitz game,Queen's Pawn Game,0,https://lichess.org/p3SZBk5y,Time forfeit,300+0,jven,1637,-14,9,1540,97
valerioneto,1573,-13,Rated Classical game,Bird Opening,1,https://lichess.org/0zQFymJZ,Normal,600+0,ab3n6,1507,+15,47,1573,-66
RunRabbitRun,1405,-14,Rated Blitz game,Nimzo-Larsen Attack,1,https://lichess.org/w660i90c,Normal,420+0,Tigre0000,1300,+15,-402,1405,-105
helmutLipfert6,1588,-5,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,Sicilian Defense,1,https://lichess.org/npQzJyA5,Time forfeit,60+0,pseudoknight,1854,+5,28,1588,266
nadir25,1701,-13,Rated Classical game,Horwitz Defense,1,https://lichess.org/qvB0yaSY,Normal,300+7,Rohan2013,1630,+14,-134,1701,-71
drose1,1407,-14,Rated Classical game,Vienna Game,1,https://lichess.org/CNWaQ1nI,Normal,600+0,zoloquoki,1343,+17,-66,1407,-64
Airon8,2028,+2,Rated Classical game,Four Knights Game,0,https://lichess.org/AhzqZ8kh,Normal,900+0,Cocomo,1401,-1,45,2028,-627
andrestoro001,1916,-11,Rated Blitz game,King's Pawn Game,1,https://lichess.org/m2QNeJ2s,Normal,180+0,apa13,1891,+11,61,1916,-25
marsam,1738,-65,Rated Blitz game,Queen's Pawn Game,1,https://lichess.org/g5hlrLQb,Time forfeit,180+0,chriscool34,1613,+13,59,1738,-125
guf14,1578,+17,Rated Classical game,Scandinavian Defense,0,https://lichess.org/hwymiCj7,Normal,360+7,Apollunai,1733,-17,104,1578,155
mikeisapro,1636,-13,Rated Bullet game,Nimzo-Larsen Attack,1,https://lichess.org/NSuSZzdj,Normal,60+0,zurka,1543,+14,-49,1636,-93
bombozik,1750,-9,Rated Bullet game,Horwitz Defense,1,https://lichess.org/prYQx4W4,Time forfeit,60+0,jc04,1798,+9,158,1750,48
shuntandromeda1,1666,+9,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,French Defense #2,0,https://lichess.org/LPs183h6,Normal,60+0,patrick03,1587,-10,-45,1666,-79
GAYGAY2,1762,-10,Rated Bullet game,Owen Defense,1,https://lichess.org/43ATZ1gw,Normal,60+0,faryad22,1773,+11,-222,1762,11
Voittamaton,1888,+1,Rated Bullet tournament https://lichess.org/tournament/xrBu8Hs5,King's Pawn Game,0,https://lichess.org/EcSDI1LL,Normal,60+0,laloli,1309,-1,-375,1888,-579
najjih,1520,+13,Rated Blitz game,Horwitz Defense,0,https://lichess.org/semSuPDF,Normal,360+0,oto,1612,-14,55,1520,92
gallero2015,1365,-4,Rated Classical game,Rat Defense,1,https://lichess.org/KRRAs7Uz,Normal,300+8,miki1954,1633,+5,104,1365,268
toronga123,1698,-10,Rated Classical game,Queen's Gambit Declined,1,https://lichess.org/zuJp047k,Time forfeit,900+6,NimzoBros,1725,+10,-21,1698,27
Testaccount8,1392,+17,Rated Classical game,Nimzowitsch Defense,0,https://lichess.org/R8HJyc2x,Normal,1800+0,killa,1585,-21,70,1392,193
DolfjeWeerwolfje,1815,+12,Rated Bullet game,Pirc Defense,0,https://lichess.org/OTbj8FqH,Time forfeit,60+0,Kapsarov,1781,-10,61,1815,-34
