Black,BlackElo,BlackRatingDiff,Event,Opening,Result,Site,Termination,TimeControl,White,WhiteElo,WhiteRatingDiff,Eval,WinElo,EloDiff
Azzam,1652,+10,Rated Classical game,Hungarian Opening,0,https://lichess.org/YKKkcCVc,Time forfeit,600+0,hungaria,1620,-10,-28,1652,-32
mramor2,1805,-8,Rated Blitz game,Dutch Defense,1,https://lichess.org/WbuhigzK,Normal,180+0,andrestoro001,1897,+8,42,1805,92
moloko7,1435,-6,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,Sicilian Defense,1,https://lichess.org/QJDa43Lc,Normal,300+0,INTIWATANA,1658,+12,0,1435,223
nele93,1428,-7,Rated Classical game,Queen's Pawn Game,1,https://lichess.org/B8DNa5Qa,Normal,900+13,zendegi_alireza,1564,+7,65,1428,136
Tynka,1834,+13,Rated Blitz game,Slav Defense,0,https://lichess.org/a8amvF4P,Normal,180+3,Zeitnot,1902,-14,50,1834,68
sasapukovac,1425,+11,Rated Classical game,Center Game,0,https://lichess.org/Xy3bl5St,Normal,1200+5,haibane46,1440,-12,71,1425,15
Fraan,1476,-15,Rated Classical game,Ruy Lopez,1,https://lichess.org/gE7s3mg7,Normal,720+8,Proggy,1378,+14,385,1476,-98
abaza,1677,-7,Rated Classical game,Queen's Pawn,1,https://lichess.org/vwsDlASm,Time forfeit,480+2,frumencio2014,1810,+10,96,1677,133
mks1340,1945,-10,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/JCOvTn3l,Time forfeit,300+0,hasered,1937,+11,98,1945,-8
mans00r,1253,+21,Rated Classical game,Philidor Defense #3,0,https://lichess.org/0GKkidO7,Normal,300+5,kadeq,1352,-15,39,1253,99
rtrtyey,1593,+8,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,King's Indian Attack,0,https://lichess.org/zCTS9pG1,Time forfeit,300+0,Anyname,1486,-12,29,1593,-107
julien,1626,+0,Rated Classical game,Queen's Pawn Game,2,https://lichess.org/5Snu5kun,Normal,900+0,dyson,1629,+0,76,1626,3
KotovSyndrome,2183,-15,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/12y0sjUE,Normal,300+0,mark28_biedermann,2186,+11,76,2183,3
chriss077,1455,+12,Rated Blitz game,Indian Game,0,https://lichess.org/hH31oiRf,Time forfeit,300+0,Anl,1524,-14,15,1455,69
xdc,1660,+23,Rated Classical game,Semi-Slav Defense,0,https://lichess.org/Uy0fV3Y0,Normal,600+0,nesa,1886,-22,27,1660,226
grandmasterbrandon,1584,-5,Rated Blitz game,Hungarian Opening,2,https://lichess.org/wdJ61t55,Time forfeit,180+1,DEMOLITRON,1432,+4,-282,1584,-152
armagedon4,1563,-14,Rated Bullet game,Caro-Kann Defense,1,https://lichess.org/3O0IH0DH,Normal,120+0,batostar,1499,+13,39,1563,-64
efo,1699,+10,Rated Bullet game,Zukertort Opening,0,https://lichess.org/2o1RG1TV,Normal,60+0,augustus_hill,1620,-8,34,1699,-79
E-ares,1862,-33,Rated Classical game,Sicilian Defense,1,https://lichess.org/1n84jWGU,Normal,600+5,I_will_Dominate,1901,+9,87,1862,39
bz,1440,-10,Rated Blitz game,Sicilian Defense,1,https://lichess.org/veWg0GS0,Normal,420+0,cercliste,1491,+10,-84,1440,51
joaob,1323,+8,Rated Classical game,Italian Game,0,https://lichess.org/krxEuuzM,Time forfeit,180+8,DMKA,1229,-9,-9,1323,-94
mikeisapro,1619,+6,Rated Bullet game,Danish Gambit,0,https://lichess.org/60tOVfyq,Time forfeit,120+0,hun-vighim,1484,-9,-33,1619,-135
mrRingo,1488,-8,Rated Blitz game,Sicilian Defense,1,https://lichess.org/mCX1YZ6W,Time forfeit,300+0,Clint09,1567,+9,15,1488,79
kchondo,1544,+10,Rated Blitz game,Vienna Game,0,https://lichess.org/H1AiDoAj,Normal,300+0,yahoojames,1523,-14,-37,1544,-21
GIL180363,1663,+10,Rated Blitz game,Queen's Pawn Game,0,https://lichess.org/q2hYA8Ox,Normal,180+0,chriscool34,1648,-10,-21,1663,-15
juniorbr21,1272,-7,Rated Bullet tournament https://lichess.org/tournament/GryAvpp1,Vienna Game,1,https://lichess.org/SfZBFzmw,Time forfeit,60+0,Voittamaton,1871,+1,550,1272,599
azizbayram,937,+22,Rated Blitz game,Pirc Defense #5,0,https://lichess.org/zFnYYJzV,Time forfeit,420+0,PedroMarhaJimenez,1189,-19,245,937,252
KeithEmerson,1653,+58,Rated Classical game,King's Gambit,0,https://lichess.org/tknd8TNp,Time forfeit,600+0,antropus,1429,-4,167,1653,-224
tigr1962,1583,+4,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,Hungarian Opening,0,https://lichess.org/A9yH33ww,Normal,300+0,alembuysakralhenry,1294,-12,-52,1583,-289
Ashk,1507,+12,Rated Classical game,Queen's Pawn Game,0,https://lichess.org/DfN3Bz71,Normal,420+8,winsett,1524,-11,27,1507,17
entagard,1362,-4,Rated Classical game,King's Knight Opening,1,https://lichess.org/LHrEZMKA,Normal,600+1,Imajine01,1614,+8,337,1362,252
Toniopegre,1627,+8,Rated Classical game,Semi-Slav Defense,0,https://lichess.org/9U0S2sQM,Normal,600+2,Stalingrado,1536,-10,46,1627,-91
Gammafunction,1422,-7,Rated Blitz game,Philidor Defense,1,https://lichess.org/HLn49At9,Time forfeit,300+0,KinolaSrbija,1571,+7,71,1422,149
vishyAnand40,1498,+11,Rated Bullet game,Englund Gambit Declined,0,https://lichess.org/xKBVSGe0,Time forfeit,0+3,Calisto,1492,-11,-5,1498,-6
xfqybxtr,1735,-10,Rated Blitz game,Bird Opening,1,https://lichess.org/aTWP16da,Normal,240+0,buzz,1737,+10,85,1735,2
URIAHURIAH,1744,-15,Rated Blitz game,Hungarian Opening,1,https://lichess.org/4s7jeyxy,Time forfeit,300+0,sport,1604,+14,481,1744,-140
Volodka76,1415,+10,Rated Classical game,King's Pawn Game,0,https://lichess.org/hW6rs4UG,Normal,540+0,AlexCandido,1378,-10,-23,1415,-37
augustus_hill,1612,-8,Rated Bullet game,Blackmar-Diemer Gambit,1,https://lichess.org/gAML6pLl,Time forfeit,60+0,efo,1709,+8,-249,1612,97
Slavik-7,2565,+2,Rated Bullet game,King's Indian Attack,0,https://lichess.org/xXGcuG6o,Time forfeit,60+0,igo1,2064,-2,32,2565,-501
daamien,1208,-25,Rated Bullet game,Caro-Kann Defense,1,https://lichess.org/2vJBrk3E,Time forfeit,120+1,mike81,1266,+9,83,1208,58
Rahstah,1669,-14,Rated Bullet game,Horwitz Defense,1,https://lichess.org/h7U8YGVh,Time forfeit,60+0,falanx,1594,+13,44,1669,-75
m654,1699,-11,Rated Bullet tournament https://lichess.org/tournament/GryAvpp1,Queen's Gambit Refused,1,https://lichess.org/Ljv4qTGU,Time forfeit,60+0,IngUNIFIIS,1724,+11,46,1699,25
EGNfanclub,2110,-15,Rated Bullet game,Vienna Game #2,1,https://lichess.org/5vBOKhzW,Time forfeit,60+0,djin,1981,+15,-46,2110,-129
kiker-am,1916,+9,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,Danish Gambit,0,https://lichess.org/rCkSGdf6,Normal,300+0,sella,1819,-9,139,1916,-97
colfax,1773,+12,Rated Bullet game,Pirc Defense #5,0,https://lichess.org/4cghBi7v,Normal,120+0,moribund,1821,-12,38,1773,48
Kobylka,1934,-7,Rated Bullet game,Caro-Kann Defense,1,https://lichess.org/iv6EcAZR,Time forfeit,60+0,nazaki1234,2054,+8,-6,1934,120
mikibb,1373,-11,Rated Classical game,Scandinavian Defense,1,https://lichess.org/q7XJqKyr,Normal,300+8,KingOfMyCastle,1414,+10,112,1373,41
romberg,1065,+16,Rated Classical game,Blackmar-Diemer Gambit,0,https://lichess.org/jhsw9SMl,Normal,840+2,carlo182,1186,-17,141,1065,121
nautilusomega,2018,-13,Rated Blitz game,French Defense,1,https://lichess.org/7ShZDNWi,Time forfeit,180+0,TrialB,1930,+13,-33,2018,-88
eoeoeo,1379,+8,Rated Blitz game,Englund Gambit Declined,0,https://lichess.org/IJx9ldSI,Normal,420+0,VEloc1tY,1313,-9,22,1379,-66
sk4zuzu,1600,+34,Rated Blitz game,Owen Defense,0,https://lichess.org/6E0d0m7X,Time forfeit,240+0,gycy950,1585,-9,185,1600,-15
sergeblanc,1609,-7,Rated Blitz game,Horwitz Defense,1,https://lichess.org/IpsUhKr5,Normal,300+0,probando,1766,+7,102,1609,157
DUNI,1772,+11,Rated Blitz game,English Opening,0,https://lichess.org/VfoEN3Wq,Normal,300+0,Rene1er,1744,-11,93,1772,-28
denko,1423,-9,Rated Bullet game,Queen's Pawn Game,1,https://lichess.org/lFqXcYqp,Normal,0+3,Calisto,1481,+9,53,1423,58
Jeverett91,1722,+12,Rated Classical game,French Defense,0,https://lichess.org/TVVaX2qR,Normal,900+0,BocaePerro,1690,-9,50,1722,-32
DolfjeWeerwolfje,1774,+21,Rated Bullet game,Hungarian Opening,0,https://lichess.org/VdZipITy,Time forfeit,60+0,faryad22,1842,-13,751,1774,68
mastor7,1456,+15,Rated Classical game,Scotch Game,0,https://lichess.org/jjfWnapS,Normal,300+7,ZeRicky,1621,-20,100,1456,165
juliocrv,1669,+7,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,Sicilian Defense,0,https://lichess.org/HkO5cj5V,Normal,300+0,gorky,1473,-7,21,1669,-196
drseuss,2136,+13,Rated Blitz game,French Defense,0,https://lichess.org/0nlQnmtD,Normal,240+3,itsmagic,2145,-12,29,2136,9
vishyAnand40,1568,-15,Rated Blitz game,Petrov's Defense,1,https://lichess.org/jY4HayYX,Time forfeit,180+1,elpulltrigger,1467,+17,202,1568,-101
mahnui,1817,+4,Rated Blitz game,Caro-Kann Defense,0,https://lichess.org/9V5rKIb2,Time forfeit,180+1,yaavarmo,1504,-3,79,1817,-313
andrestoro001,1905,-14,Rated Blitz game,Philidor Defense #3,1,https://lichess.org/EofYpPas,Time forfeit,180+0,mramor2,1797,+14,42,1905,-108
chubaba,1526,-17,Rated Blitz game,Italian Game,1,https://lichess.org/A9tZ2c0K,Time forfeit,180+0,tytus990c,1413,+15,130,1526,-113
mendieta,1609,-8,Rated Classical game,King's Gambit,1,https://lichess.org/LvOZNfT2,Normal,600+8,perka,1703,+8,-27,1609,94
libi,1471,+10,Rated Bullet game,King's Gambit,0,https://lichess.org/y6TN8RsW,Normal,60+2,wandal,1429,-10,120,1471,-42
Zeitnot,1888,-1,Rated Blitz game,Queen's Pawn Game,2,https://lichess.org/qOVwAgtn,Normal,180+3,Tynka,1847,+1,2,1888,-41
krisfo97,1314,-11,Rated Bullet tournament https://lichess.org/tournament/GryAvpp1,Scandinavian Defense,1,https://lichess.org/Dgff5qYA,Time forfeit,60+0,Voittamaton,1872,+1,450,1314,558
andrewdnahon,1582,+11,Rated Classical game,Queen's Gambit Declined,0,https://lichess.org/2QIH3vf5,Normal,780+10,strike88,1588,-11,16,1582,6
gunsti,1664,+13,Rated Classical game,Italian Game,0,https://lichess.org/6t140AZS,Normal,360+10,srkila64,1687,-12,28,1664,23
makina,1487,-10,Rated Blitz game,Horwitz Defense,1,https://lichess.org/mIRvCo3M,Normal,180+0,amateurmd,1507,+10,154,1487,20
DxDeathusu,1331,-7,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/pMfXJqoY,Time forfeit,240+0,mozbet,1495,+6,81,1331,164
Samuelnaescola,1484,-18,Rated Classical game,Sicilian Defense,1,https://lichess.org/g9i8aS2F,Normal,1800+0,steobeo,1306,+17,0,1484,-178
Slavik-7,2567,+4,Rated Bullet game,Nimzowitsch Defense,0,https://lichess.org/R9mPGVBe,Time forfeit,60+0,andrewrun,2264,-4,60,2567,-303
tomillo,1456,+5,Rated Blitz game,Sicilian Defense,0,https://lichess.org/oObiNrUU,Normal,60+5,babson,1207,-5,-9,1456,-249
